Date,EEM,GLD,SPY,TLT,VNQ
2020-01-02,40.08706283569336,143.9499969482422,297.6988830566406,115.4437026977539,73.07879638671875
2020-01-03,39.3427619934082,145.86000061035156,295.4447021484375,117.22157287597656,73.53304290771484
2020-01-06,39.24644088745117,147.38999938964844,296.57183837890625,116.55592346191406,73.62071990966797
2020-01-07,39.22017288208008,147.97000122070312,295.73797607421875,115.9829330444336,72.79985046386719
2020-01-08,39.44784164428711,146.86000061035156,297.31414794921875,115.21623229980469,73.02301788330078
2020-01-09,39.710533142089844,146.02999877929688,299.3301086425781,115.62063598632812,72.983154296875
2020-01-10,39.920684814453125,146.91000366210938,298.4687805175781,116.64862823486328,73.541015625
2020-01-13,40.542396545410156,145.82000732421875,300.5213928222656,116.2947769165039,74.42562866210938
2020-01-14,40.314727783203125,145.69000244140625,300.0632629394531,116.89295196533203,74.14667510986328
2020-01-15,39.9995002746582,146.5399932861328,300.7413024902344,117.66815185546875,74.81610870361328
2020-01-16,40.25343704223633,146.30999755859375,303.2430114746094,117.29743194580078,75.413818359375
2020-01-17,40.481101989746094,146.5800018310547,304.1868896484375,116.2947769165039,75.48551940917969
2020-01-21,39.456600189208984,146.74000549316406,303.59124755859375,117.51647186279297,76.20277404785156
2020-01-22,39.78058624267578,146.7899932861328,303.62786865234375,117.92932891845703,75.6927261352539
2020-01-23,39.3690299987793,147.1199951171875,303.97607421875,118.75506591796875,76.33026123046875
2020-01-24,39.053794860839844,147.97999572753906,301.2728576660156,119.71566772460938,76.06729125976562
2020-01-27,37.70530700683594,148.99000549316406,296.4434814453125,121.57777404785156,75.7007064819336
2020-01-28,38.020538330078125,147.66000366210938,299.550048828125,120.62567901611328,76.00354766845703
2020-01-29,38.20442581176758,148.4600067138672,299.3025817871094,121.80528259277344,75.72460174560547
2020-01-30,37.63526153564453,148.47000122070312,300.27392578125,121.82217407226562,75.78038787841797
2020-01-31,36.873443603515625,149.3300018310547,294.8216552734375,122.93435668945312,74.8559341430664
2020-02-03,37.28498840332031,148.36000061035156,297.01165771484375,122.83477020263672,75.10301208496094
2020-02-04,38.24820327758789,146.42999267578125,301.5384826660156,121.1805648803711,75.87601470947266
2020-02-05,38.46710968017578,146.61000061035156,305.0206298828125,119.8554458618164,75.92384338378906
2020-02-06,38.502140045166016,147.39999389648438,306.0469970703125,120.3956298828125,76.17886352539062
2020-02-07,37.96799850463867,147.7899932861328,304.4158935546875,121.89796447753906,76.16292572021484
2020-02-10,38.17815399169922,148.1699981689453,306.6884460449219,122.23553466796875,77.01564025878906
2020-02-11,38.677268981933594,147.66000366210938,307.219970703125,121.61943054199219,77.59739685058594
2020-02-12,39.20266342163086,147.5399932861328,309.1993103027344,121.00335693359375,78.05962371826172
2020-02-13,38.68602752685547,148.3800048828125,308.8694763183594,121.46746063232422,78.5298080444336
2020-02-14,38.70354080200195,149.0,309.3642578125,121.99921417236328,79.34268951416016
2020-02-18,38.44960021972656,150.91000366210938,308.5670471191406,122.83477020263672,79.2550277709961
2020-02-19,38.72980880737305,151.7899932861328,310.04241943359375,122.82634735107422,78.18712615966797
2020-02-20,38.12561798095703,152.41000366210938,308.7686767578125,123.78851318359375,79.1195297241211
2020-02-21,37.906707763671875,154.6999969482422,305.5888671875,124.94476318359375,79.35064697265625
2020-02-24,36.488155364990234,156.08999633789062,295.4538269042969,126.81001281738281,78.2668228149414
2020-02-25,36.199195861816406,153.3000030517578,286.5010070800781,127.48516845703125,76.14697265625
2020-02-26,36.488155364990234,153.97000122070312,285.4471740722656,126.81001281738281,75.32614135742188
2020-02-27,35.612510681152344,154.0,272.62725830078125,128.1857452392578,71.31756591796875
2020-02-28,35.48116683959961,148.3800048828125,271.48187255859375,131.0806121826172,69.59620666503906
2020-03-02,36.251731872558594,149.1999969482422,283.23876953125,130.11619567871094,72.56877136230469
2020-03-03,36.00654602050781,153.88999938964844,275.12890625,132.13629150390625,72.40140533447266
2020-03-04,36.645774841308594,154.16000366210938,286.6934509277344,130.7332305908203,75.13488006591797
2020-03-05,35.875205993652344,157.49000549316406,277.1632385253906,133.98741149902344,73.52507019042969
2020-03-06,35.1396598815918,157.5500030517578,272.58148193359375,140.96060180664062,72.25794982910156
2020-03-09,32.740386962890625,157.80999755859375,251.29443359375,144.78106689453125,66.68736267089844
2020-03-10,34.40412521362305,154.47999572753906,264.2974853515625,137.35992431640625,69.50485229492188
2020-03-11,32.80168914794922,153.92999267578125,251.4134979248047,132.3052978515625,65.3284683227539
2020-03-12,29.51801300048828,147.7899932861328,227.35891723632812,133.12521362304688,58.71046829223633
2020-03-13,31.645837783813477,143.27999877929688,246.79501342773438,130.11619567871094,63.83458709716797
2020-03-16,27.696670532226562,141.63999938964844,219.78976440429688,138.54319763183594,52.51815414428711
2020-03-17,29.605579376220703,143.55999755859375,231.65667724609375,129.3048095703125,55.554080963134766
2020-03-18,27.048694610595703,140.6999969482422,219.92724609375,122.0103759765625,50.26933288574219
2020-03-19,27.25885009765625,138.0399932861328,220.39453125,125.33213806152344,50.44602584838867
2020-03-20,27.460248947143555,140.11000061035156,210.8968505859375,134.756591796875,47.93216323852539
2020-03-23,26.80351448059082,146.3000030517578,205.5045928955078,140.3096923828125,45.70742416381836
2020-03-24,28.817501068115234,153.39999389648438,224.12396240234375,137.6980438232422,49.81956481933594
2020-03-25,29.833250045776367,151.3000030517578,227.47915649414062,137.38519287109375,52.50210189819336
2020-03-26,30.962833404541016,153.24000549316406,240.7616424560547,138.0614471435547,56.20464324951172
2020-03-27,29.202781677246094,152.25,233.5903778076172,141.74664306640625,56.2608642578125
2020-03-30,29.68439483642578,152.9199981689453,241.17636108398438,140.5802001953125,57.48966979980469
2020-03-31,29.88578987121582,148.0500030517578,237.58152770996094,139.43922424316406,56.1002197265625
2020-04-01,28.607345581054688,149.4499969482422,226.88922119140625,141.3927459716797,52.41374206542969
2020-04-02,29.570560455322266,151.89999389648438,232.12477111816406,142.2900390625,52.59044647216797
2020-04-03,29.01014518737793,152.64999389648438,228.7696075439453,142.62860107421875,51.82745361328125
2020-04-06,30.595056533813477,156.8800048828125,244.13519287109375,142.25616455078125,55.6665153503418
2020-04-07,30.75267219543457,156.0399932861328,244.38406372070312,140.76641845703125,56.180538177490234
